name_func;id_handler;name;user/sys;tuple
get_scipy_status;0;ImportError;sys;1
get_numpy_status;1;ImportError;sys;1
setup_package;2;ImportError;sys;1
_get_git_revision;3;CalledProcessError;usr;0
_get_git_revision;3;OSError;usr;0
_linkcode_resolve;4;Exception;sys;1
_linkcode_resolve;5;Exception;sys;1
_linkcode_resolve;6;Exception;sys;1
__init__;7;TypeError;sys;1
_get_data;8;AttributeError;sys;1
_parse_dict_recursive;9;ValueError;sys;1
_get_link;10;HTTPError;usr;0
_get_link;10;URLError;usr;0
_get_link;10;IOError;usr;0
_embed_code_links;11;HTTPError;usr;1
_embed_code_links;12;URLError;usr;1
_embed_code_links;13;HTTPError;usr;0
_embed_code_links;13;URLError;usr;0
parse_config;14;TypeError;sys;1
get_short_module_name;15;Exception;sys;1
identify_names;16;SyntaxError;sys;1
scale_image;17;ImportError;sys;1
scale_image;18;Exception;sys;1
execute_code_block;19;Exception;sys;1
get_docstring_and_rest;20;SyntaxError;sys;1
_ustr;22;UnicodeEncodeError;sys;1
__init__;23;KeyError;usr;0
__init__;23;TypeError;usr;0
_normalizeParseActionArgs;24;AttributeError;sys;1
_normalizeParseActionArgs;25;AttributeError;sys;1
_normalizeParseActionArgs;26;AttributeError;sys;1
_normalizeParseActionArgs;27;AttributeError;sys;1
_normalizeParseActionArgs;28;AttributeError;sys;1
_skipIgnorables;29;ParseException;usr;1
_parseNoCache;30;ParseException;usr;1
_parseNoCache;31;IndexError;sys;1
_parseNoCache;32;IndexError;sys;1
_parseNoCache;33;ParseException;usr;1
_parseCache;34;ParseBaseException;usr;1
scanString;35;ParseException;usr;1
parseFile;36;AttributeError;sys;1
__eq__;37;ParseException;usr;1
__init__;38;IndexError;sys;1
__init__;39;IndexError;sys;1
parseImpl;48;ParseException;usr;1
parseImpl;49;IndexError;sys;1
parseImpl;50;ParseException;usr;1
parseImpl;51;IndexError;sys;1
parseImpl;52;ParseException;usr;1
parseImpl;54;ParseException;usr;0
parseImpl;54;IndexError;usr;0
parseImpl;55;ParseException;usr;0
parseImpl;55;IndexError;usr;0
parseImpl;56;ParseException;usr;0
parseImpl;56;IndexError;usr;0
