func_name;id;size;handlers
get_scipy_status;0;3;1
get_numpy_status;1;3;1
setup_package;2;0;1
_get_git_revision;3;1;1
_linkcode_resolve;4;1;1
_linkcode_resolve;5;1;1
_linkcode_resolve;6;1;1
__init__;7;4;1
_get_data;8;2;1
_parse_dict_recursive;9;1;1
_get_link;10;0;1
_embed_code_links;11;0;2
_embed_code_links;12;1;1
parse_config;13;1;1
get_short_module_name;14;0;1
identify_names;15;0;1
scale_image;16;0;1
scale_image;17;0;1
execute_code_block;18;8;1
get_docstring_and_rest;19;1;1
convertToFloat;20;1;1
_ustr;21;1;1
__init__;22;1;1
_normalizeParseActionArgs;23;2;1
_normalizeParseActionArgs;24;1;1
_normalizeParseActionArgs;25;1;1
_normalizeParseActionArgs;26;1;1
_normalizeParseActionArgs;27;0;1
_skipIgnorables;28;0;1
_parseNoCache;29;0;1
_parseNoCache;30;1;1
_parseNoCache;31;1;1
_parseNoCache;32;0;1
_parseCache;33;3;1
scanString;34;2;1
parseFile;35;1;1
__eq__;36;1;1
__init__;37;1;1
__init__;38;1;1
__init__;39;1;1
__str__;40;1;1
__init__;41;2;1
__str__;42;1;1
__init__;43;2;1
__str__;44;1;1
__str__;45;1;1
__str__;46;1;1
parseImpl;47;1;2
parseImpl;48;2;2
parseImpl;49;1;1
__str__;50;1;1
parseImpl;51;0;1
parseImpl;52;2;1
parseImpl;53;1;1
parseImpl;54;1;1
parseImpl;55;1;1
traceParseAction;56;1;1
traceParseAction;57;1;1
oneOf;58;0;1
srange;59;1;1
keepOriginalText;60;1;1
test;61;7;1
fit_single;62;1;1
bench_one;63;0;1
bench_one;64;1;1
bench_one;65;1;1
retry;66;1;1
__getstate__;67;1;1
__setstate__;68;0;1
_predict_binary;69;1;1
fit;70;1;1
_fit_and_score;71;0;1
_score;72;1;1
__call__;73;1;1
get_scorer;74;1;1
_check_multimetric_scoring;75;1;1
hinge_loss;76;1;1
_load_imgs;77;0;1
_load_imgs;78;0;1
_fetch_lfw_pairs;79;1;1
fetch_mldata;80;1;1
fetch_mldata;81;0;1
load_sample_images;82;0;1
load_sample_images;83;0;1
_fetch_brute_kddcup99;84;0;1
_mkdirp;85;0;1
fetch_20newsgroups;86;2;1
fetch_covtype;87;0;1
load_mlcomp;88;1;1
_compute_precision_cholesky;89;1;1
_compute_precision_cholesky;90;1;1
_log_multivariate_normal_density_full;91;1;1
_log_multivariate_normal_density_full;92;1;1
maybe_cythonize_extensions;93;0;1
_fit_stochastic;94;0;1
__getattr__;95;1;1
safe_indexing;96;1;1
assert_raise_message;97;0;1
if_matplotlib;98;0;1
_delete_folder;99;0;1
check_docstring_parameters;100;1;1
type_of_target;101;1;1
type_of_target;102;0;1
check_supervised_y_no_nan;103;0;1
check_estimator;104;0;1
check_estimator_sparse_data;105;0;2
check_sample_weights_pandas_series;106;3;1
check_sample_weights_pandas_series;107;0;1
check_dtype_object;108;0;1
check_fit2d_1sample;109;0;1
check_fit2d_1feature;110;0;1
check_fit1d_1feature;111;0;1
check_fit1d_1sample;112;0;1
check_estimators_nan_inf;113;0;2
check_estimators_nan_inf;114;0;2
check_estimators_nan_inf;115;0;2
check_estimators_partial_fit_n_features;116;0;1
check_classifiers_one_label;117;0;2
check_classifiers_one_label;118;0;1
check_classifiers_train;119;1;1
check_parameters_default_constructible;120;1;1
get;121;1;1
_parse_version;122;0;1
makedirs;123;0;1
__get__;124;1;1
newton_cg;125;1;1
plot_partial_dependence;126;1;1
plot_partial_dependence;127;1;1
plot_partial_dependence;128;0;1
predict_proba;129;1;2
staged_predict_proba;130;0;2
feature_importances_;131;2;1
fast_mcd;132;1;1
graph_lasso;133;1;1
graph_lasso_path;134;1;1
_fit_transform;135;1;1
_get_user_defined_method;136;1;1
signature;137;1;1
signature;138;1;1
signature;139;1;1
args;140;1;1
kwargs;141;1;1
parameters;142;1;1
__eq__;143;1;1
__eq__;144;1;1
_bind;145;1;1
_bind;146;1;1
_bind;147;1;1
_bind;148;1;1
remove_move;149;0;1
remove_move;150;1;1
concurrency_safe_rename;151;0;1
__init__;152;0;1
__init__;153;0;1
__init__;154;0;1
__call__;155;0;1
get_func_code;156;3;1
get_func_name;157;1;1
get_func_name;158;1;1
getfullargspec;159;1;1
filter_args;160;1;1
delayed;161;1;1
__init__;162;1;1
_initialize_backend;163;1;1
retrieve;164;0;1
__init__;165;0;1
__init__;166;0;1
_unpickle;167;1;1
_load_output;168;0;1
_get_cache_items;169;1;1
_get_cache_items;170;1;1
_get_cache_items;171;2;1
__init__;172;0;1
__init__;173;0;1
_cached_call;174;2;1
_write_func_code;175;1;1
_check_previous_func_code;176;0;1
_check_previous_func_code;177;0;1
_persist_output;178;2;1
_persist_input;179;1;1
reduce_size;180;0;1
_detect_encoding;181;1;1
_detect_encoding;182;1;1
_detect_encoding;183;1;1
memstr_to_bytes;184;1;1
mkdirp;185;0;1
rm_subdirs;186;1;1
rm_subdirs;187;0;1
safe_repr;188;1;2
safe_repr;189;1;2
safe_repr;190;2;2
_fixed_getframes;191;1;1
format_records;192;1;1
format_records;193;1;1
format_records;194;3;1
format_records;195;0;2
format_records;196;1;1
format_exc;197;1;1
format_exc;198;1;1
__init__;199;0;1
load_compatibility;200;1;1
__call__;201;1;2
_mk_exception;202;2;1
__init__;203;1;1
hash;204;0;1
save_global;205;0;1
_batch_setitems;206;0;1
__call__;207;0;1
delete_folder;208;0;1
__init__;209;3;1
terminate;210;0;1
_fill_buffer;211;1;1
_read_bytes;212;2;1
_check_parameters;213;0;1
_check_parameters;214;1;1
_fit;215;1;1
discretize;216;2;1
linkage_tree;217;1;1
_count_vocab;218;1;1
transform;219;1;1
_fit_and_score;220;0;1
_score;221;1;1
_multimetric_score;222;1;1
fit;223;1;1
log_marginal_likelihood;224;1;1
reduced_likelihood_function;225;1;1
_arg_max_reduced_likelihood_function;226;1;1
fit;227;0;1
logistic_regression_path;228;1;1
logistic_regression_path;229;1;1
fit;230;1;1
_get_loss_function;231;3;1
_get_learning_rate_type;232;1;1
_get_penalty_type;233;1;1
_solve_cholesky_kernel;234;1;1
ridge_regression;235;2;1
ridge_regression;236;1;1
spectral_embedding;237;0;1
spectral_embedding;238;4;1
null_space;239;1;1
