func_name;id;size;handlers
run;0;0;1
run;1;0;1
get_root;2;1;1
run_command;3;2;1
git_get_keywords;4;1;1
do_vcs_install;5;2;1
do_vcs_install;6;1;1
versions_from_file;7;0;1
get_versions;8;3;1
get_versions;9;2;1
get_versions;10;3;1
get_versions;11;0;1
do_setup;12;1;1
do_setup;13;0;1
do_setup;14;0;1
run_command;15;2;1
git_get_keywords;16;1;1
get_versions;17;1;1
get_versions;18;1;1
get_versions;19;2;1
get_versions;20;0;1
_mpl_le_1_2_1;21;1;1
_mpl_ge_1_3_1;22;1;1
_mpl_ge_1_4_0;23;1;1
_mpl_ge_1_5_0;24;1;1
_mpl_ge_2_0_0;25;1;1
_mpl_le_2_0_0;26;1;1
_mpl_ge_2_0_1;27;1;1
_mpl_ge_2_1_0;28;1;1
_get_standard_colors;29;1;1
_get_standard_colors;30;1;1
_get_standard_colors;31;1;1
_convert_1d;32;1;1
_convert_1d;33;1;1
__call__;34;1;1
__call__;35;0;1
format_date_labels;36;1;1
_get_layout;37;1;1
_remove_labels_from_axis;38;0;1
_handle_shared_axes;39;1;1
_compute_plot_data;40;1;1
_post_plot_logic_common;41;1;1
_apply_style_colors;42;1;1
_plot;43;1;1
u_safe;44;1;1
strlen;45;1;1
east_asian_len;46;1;1
load_reduce;47;2;1
load_reduce;48;3;1
load_reduce;49;2;1
load;50;2;1
__getitem__;51;1;1
__delitem__;52;1;1
popitem;53;1;1
pop;54;1;1
validate_transpose_for_generic;55;0;1
read_msgpack;56;1;1
unconvert;57;1;1
decode;58;1;1
__iter__;59;1;1
_get_default_writer;60;1;1
get_writer;61;0;1
get_writer;62;1;1
__init__;63;0;1
_parse_excel;64;1;1
_parse_excel;65;1;1
_parse_excel;66;2;1
__new__;67;1;1
__init__;68;0;1
_convert_to_fill;69;1;1
_convert_to_number_format;70;1;1
get_filepath_or_buffer;71;1;1
_try_import;72;0;1
_try_import;73;0;1
read_clipboard;74;1;1
to_clipboard;75;3;1
_tables;76;1;1
read_hdf;77;1;1
read_hdf;78;1;1
read_hdf;79;0;1
__init__;80;0;1
__getattr__;81;1;1
open;82;1;3
flush;83;0;1
remove;84;1;1
get_node;85;1;1
info;86;1;1
_validate_format;87;1;1
_create_storer;88;1;1
_create_storer;89;1;1
_create_storer;90;1;1
_create_storer;91;1;1
is_indexed;92;1;1
convert;93;1;1
create_for_block;94;0;1
convert;95;1;1
convert;96;1;1
set_version;97;1;1
write_array;98;1;1
write_array;99;1;1
shape;100;1;1
shape;101;5;1
validate_multiindex;102;1;1
create_axes;103;1;1
create_axes;104;1;1
create_axes;105;1;1
create_axes;106;1;2
write_data_chunk;107;3;1
